gene,Kidney_T0-1.counts.rev.txt,Kidney_T0-2.counts.rev.txt,Kidney_T12.counts.rev.txt,Kidney_T24.counts.rev.txt,Kidney_T48.counts.rev.txt
GPSM2,378.1002234,355.4176802,213.7905167,238.5842401,368.5008261
GPSM3,72.17297711,62.13595808,79.28064996,99.33618921,157.5197832
GPT,1554.412029,1585.70965,1139.325296,1082.054918,1227.699643
GPT2,84059.97416,88144.82741,26079.77066,39524.27321,23985.96698
GPX1,18677.72015,23881.33413,39988.62536,32153.88274,32960.77596
GPX2,5.386043068,2.485438323,11.58031966,11.53009339,13.36531494
GPX3,1949765.903,2481344.806,1082126.534,1133597.983,701262.8001
GPX4,16893.86269,20852.82753,16034.28876,17312.87869,14301.84165
GPX5,0,0,0,0,0
GPX6,0,0,0,0,0
GPX7,329.6258358,330.563297,2070.204837,991.5880315,1171.374388
GPX8,651.7112112,672.3110664,1746.846681,1533.502421,2201.458303
GRAMD1A,604.3140322,656.1557173,1140.216089,956.1108211,986.1693092
GRAMD1B,11235.28584,11436.74444,7444.363952,5267.478819,4439.19389
GRAMD1C,1152.613217,1001.631644,452.5232604,724.6220231,694.0417113
GRAMD2B,2199.659989,1943.612769,3318.206979,2966.781722,2421.986
GRAMD4,1251.716409,1143.301629,1078.751316,992.4749618,904.0680889
GRAP2,3.231625841,3.728157485,4.453969099,6.208511825,5.727992116
GRB10,959.7928747,1104.777335,1271.162781,1222.189899,1256.339604
GRB14,3532.167044,4176.779102,1126.854182,1506.007583,1465.411316
GRB2,5001.479593,4683.80852,5863.204922,5500.741477,5589.565639
GRB7,4691.243512,4759.614389,1782.478433,1685.167495,1803.362851
GREB1,133.5738681,93.20393712,750.9391901,489.5855039,458.2393692
GREB1L,114.184113,91.96121796,118.475578,94.9015379,92.6025392
GREM1,1360.514479,1221.592936,4127.938561,2861.237021,1446.318009
GREM2,0,0,0,0,0
GRHL1,8.617668908,3.728157485,33.85016515,18.62553548,11.45598423
GRHL2,513.8285087,432.4662682,762.5195097,724.6220231,613.8498217
GRHL3,80.79064602,70.83499221,131.8374853,100.2231195,178.5224209
GRHPR,10967.06089,13617.71657,4127.938561,5083.884255,5775.725383
GRIA1,34.47067563,24.85438323,15.14349494,22.17325652,25.77596452
GRIA2,0,0,0,0,0
GRIA3,25.85300673,21.12622575,118.475578,50.55502486,63.00791327
GRIA4,114.184113,99.41753293,44.53969099,72.72828138,91.64787385
GRID1,17.23533782,6.213595808,23.16063931,14.19088417,26.73062987
GRID2,6.463251681,7.45631497,4.453969099,1.773860522,4.773326763
GRID2IP,5.386043068,2.485438323,2.672381459,0.886930261,7.637322821
GRIFIN,44.16555316,55.92236227,41.86730953,54.10274591,91.64787385
GRIK1,0,0,0,0,0
GRIK2,65.70972543,53.43692395,20.48825786,39.02493147,26.73062987
GRIK3,8.617668908,1.242719162,69.48191794,10.64316313,29.59462593
GRIK4,36.62509286,24.85438323,5.344762919,14.19088417,38.1866141
GRIK5,3164.838907,3498.25444,1340.644699,1712.662334,1558.968521
